clubLabel,venueLabel,coordinates,countryLabel
A.C.R. Messina,Stadio San Filippo,Point(15.520833 38.161389),Italy
A.D. Dili Leste,National Stadium,Point(125.580611 -8.557944),East Timor
A.D. Isidro Metapán,Estadio Jorge Calero Suárez,Point(-89.449187 14.332106),El Salvador
A.D. Ovarense,Estádio Marques da Silva,Point(-8.626183 40.698219),Portugal
A.D. Sanjoanense,Estádio Conde Dias Garcia,Point(-8.499072 40.898239),Portugal
A.E.K. Athens F.C.,Olympic Stadium,Point(23.7875 38.036111111),Greece
A.F.C. Ajax,Amsterdam Arena,Point(4.941944444 52.314166666),Netherlands
A.F.C. Bournemouth,Dean Court,Point(-1.838333 50.735278),United Kingdom
A.F.C. Hornchurch,Hornchurch Stadium,Point(0.238316666 51.556547222),United Kingdom
A.F.C. Leopards,Nyayo National Stadium,Point(36.824167 -1.303611),Kenya
A.F.C. Telford United,New Bucks Head,Point(-2.501336 52.697272),United Kingdom
A.J. Auxerre,Stade de l'Abbé-Deschamps,Point(3.588664 47.786753),France
A.S. Casale Calcio,Q2326020,Point(8.4451282 45.13130153),Italy
A.S. Giana Erminio,Q18420487,Point(9.402041 45.52885),Italy
A.S. Gubbio 1910,Stadio Pietro Barbetti,Point(12.566667 43.35),Italy
A.S. Lössi,Stade Numa-Daly Magenta,Point(166.467611 -22.265528),France
A.S. Martina Franca 1947,Stadio Gian Domenico Tursi,Point(17.343333 40.699722),Italy
A.S. Monaco F.C.,Stade Louis II,Point(7.415556 43.727778),France
A.S. Mont-Dore,Stade Numa-Daly Magenta,Point(166.467611 -22.265528),France
A.S. Nancy-Lorraine,Stade Marcel Picot,Point(6.210687 48.6955),France
A.S. Pirae,Stade Pater Te Hono Nui,Point(-149.552 -17.54),France
A.S. Roma,Stadio Olimpico,Point(12.454714 41.933872),Italy
A.S. Saint-Étienne,Stade Geoffroy-Guichard,Point(4.39 45.460833),France
A.S. Tamarii Faa'a,Stade Louis Ganivet,Point(-149.5947 -17.5576),France
A.S. Tefana,Stade Louis Ganivet,Point(-149.5947 -17.5576),France
A.S.D. Akragas Calcio,Agrigento,Point(13.576547222 37.311075),Italy
A.S.D. Barletta 1922,Q2326012,Point(16.28388889 41.3125),Italy
A.S.D. Calcio Ivrea,Stadio Gino Pistoni,Point(7.884167 45.466389),Italy
A.S.D. Castel di Sangro Calcio,Stadio Teofilo Patini,Point(14.1027 41.7795),Italy
A.S.D. Città di Giulianova 1924,Stadio Rubens Fadini,Point(13.954722 42.749167),Italy
A.S.D. Fidelis Andria 1928,Stadio Degli Ulivi,Point(16.309167 41.2325),Italy
A.S.D. Legnano Football 1913,Stadio Giovanni Mari,Point(8.909781 45.589342),Italy
A.S.D. Manfredonia Calcio 1932,Stadio Miramare,Point(15.918889 41.628056),Italy
A.S.D. Olimpia Colligiana,Stadio Gino Manni,Point(11.1333 43.4),Italy
A.S.D. SanGiovanniValdarno,Stadio Virgilio Fedini,Point(11.526667 43.573889),Italy
A.S.D.C. Verbania,Q3967725,Point(8.5589 45.94284),Italy
A.S.G. Nocerina,Stadio San Francesco d'Assisi,Point(14.652581 40.747319),Italy
A.T.A.,Nuuk Stadium,Point(-51.7325 64.180833),Greenland
ABC Futebol Clube,Frasqueirão,Point(-35.1801 -5.8894),Brazil
AC Allianssi,ISS Stadion,Point(24.83818333 60.2621),Finland
AC Arles-Avignon,Parc des Sports,Point(4.845 43.928333),France
AC Bellinzona,Stadio Comunale Bellinzona,Point(9.022304 46.198082),Switzerland
AC Horsens,CASA Arena Horsens,Point(9.85722222 55.87166667),Denmark
AC Léopards,Stade Denis Sassou Nguesso,Point(12.6856 -4.2075),Republic of the Congo
AC Omonia,GSP Stadium,Point(33.362864 35.114542),Cyprus
AC Oulu,Raatti Stadium,Point(25.465805555 65.019694444),Finland
AC Sodigraf,Stade des Martyrs,Point(15.31 -4.330417),Democratic Republic of the Congo
AC Sparta Prague,Generali Arena,Point(14.416122 50.099716),Czech Republic
AC St. Louis,Anheuser-Busch Center,Point(-90.438611 38.546667),United States of America
ACF Fiorentina,Stadio Artemio Franchi,Point(11.282258 43.780822),Italy
ACS Dacia Unirea Brăila,Stadionul Municipal,Point(27.94715 45.258058),Romania
ACS Foresta Suceava,Stadionul Areni,Point(27.94715 45.258058),Romania
ACS Fortuna Covaci,Stadionul Fortuna,Point(21.226389 45.839167),Romania
ACS Poli Timișoara,Stadionul Dan Păltinişanu,Point(21.244167 45.740556),Romania
ACS Târgoviște,Stadionul Eugen Popescu,Point(25.462294 44.931558),Romania
AD Alcorcón,Estadio Municipal de Santo Domingo,Point(-3.840556 40.338889),Spain
AD Almería,Estadio Municipal Juan Rojas,Point(-2.44529 36.862),Spain
AD Arganda,Q5848200,Point(-3.34722 40.483),Spain
AD Bairro,Estádio da Várzea,Point(-23.512222 14.916111),Cape Verde
AD Ceuta,Estadio Alfonso Murube,Point(-5.3279 35.8854),Spain
AD Fundación Logroñés,Q8842858,Point(-2.45686 42.4769),Spain
AD Vos Esperança,National Stadium,Point(125.580611 -8.557944),East Timor
ADO Den Haag,Kyocera Stadion,Point(4.383056 52.062778),Netherlands
ADO Den Haag (women),Kyocera Stadion,Point(4.383056 52.062778),Netherlands
ADR União,National Stadium,Point(125.580611 -8.557944),East Timor
AEK Ammochostos,Famagusta Municipal Stadium,Point(33.953348 35.118793),Cyprus
AEK Kakopetrias,Kakopetria Community Stadium,Point(32.909983 34.982073),Cyprus
AEK Karava FC,G.S. Praxander Stadium,Point(33.307194 35.334106),Cyprus
AEK Katholiki,AEK Katholiki Ground,Point(33.03405 34.676552),Cyprus
AEK Korakou,Korakou Community Stadium,Point(32.887754 35.037065),Cyprus
AEK Kornos,Kornos Community Stadium,Point(33.404229 34.917327),Cyprus
AEK Kouklia F.C.,Kouklia Community Stadium,Point(32.57403 34.711831),Cyprus
AEK Larnaca F.C.,AEK Arena - Georgios Karapatakis,Point(33.597747222 34.9263),Cyprus
AEK/Achilleas Ayiou Theraponta,AEK Katholiki Ground,Point(33.03405 34.676552),Cyprus
AEL Limassol FC,Tsirion Stadium,Point(33.022975 34.700914),Cyprus
AEM Mesogis,Giolou Community Stadium,Point(32.477975 34.919406),Cyprus
AEM Morphou,Morphou Municipal Stadium,Point(32.994831 35.206299),Cyprus
AEN Ayiou Georgiou Vrysoullon-Acheritou,Olympos Acheritou Stadium,Point(33.880476 35.07385),Cyprus
AEP Paphos F.C.,Pafiako Stadium,Point(32.440144 34.769186),Cyprus
AEZ Zakakiou,Zakaki Community Stadium,Point(33.00602 34.640445),Cyprus
AFC Ajax (women),Sportpark De Toekomst,Point(4.928914 52.313522),Netherlands
AFC Dunstable,Creasey Park,Point(-0.5391 51.8928),United Kingdom
AFC Wimbledon,Kingsmeadow,Point(-0.281944444 51.405083333),United Kingdom
AFTL FC,National Stadium,Point(125.580611 -8.557944),East Timor
AIK Fotboll,Friends Arena,Point(18.0 59.3725),Sweden
ALO's Hokuriku,Toyama Athletic Stadium,Point(137.195688 36.625056),Japan
AMEP Parekklisia,Parekklisia Community Stadium,Point(33.160694444 34.736166666),Cyprus
APEA Akrotiriou,Akrotiri Community Stadium,Point(32.982588 34.582642),Cyprus
APEP F.C.,Kyperounda Community Stadium,Point(32.975947 34.935236),Cyprus
APEP Pelendriou,Pelendri Community Stadium,Point(32.9641 34.8957),Cyprus
APIA Leichhardt Tigers,Lambert Park,Point(151.1573 -33.8847),Australia
APOEL F.C.,GSP Stadium,Point(33.362864 35.114542),Cyprus
APOP Kinyras FC,Pafiako Stadium,Point(32.440144 34.769186),Cyprus
APOP Kinyras FC,Peyia Municipal Stadium,Point(32.381111 34.874722),Cyprus
APOP Paphos FC,Pafiako Stadium,Point(32.440144 34.769186),Cyprus
APOP Paphos FC,GSK Stadium,Point(32.424619 34.775323),Cyprus
AS 23 Sofia,Balgarska Armia Stadium,Point(23.339769 42.684258),Bulgaria
AS Beauvais Oise,Stade Pierre Brisson,Point(2.113889 49.431667),France
AS Béziers,Stade de Sauclières,Point(3.225 43.331389),France
AS Béziers,Stade de Sauclières,Point(3.225 43.331389),France
AS Cannes,Stade Pierre de Coubertin,Point(6.964608 43.553056),France
AS Capoise,Parc St. Victor,Point(-72.2075 19.753611),Haiti
AS Cavaly,Parc Julia Vilbon,Point(-72.638916666 18.456083333),Haiti
AS Dragons,Stade 24 Novembre,Point(15.312485 -4.322865),Democratic Republic of the Congo
AS GNN,Stade Général Seyni Kountché,Point(2.108972 13.52725),Niger
AS Inter Star,Prince Louis Rwagasore Stadium,Point(29.373778 -3.383333),Burundi
AS Khroub,Stade Abed Hamdani,Point(6.68333 36.2667),Algeria
AS Korofina,Stade Modibo Kéïta,Point(-7.993056 12.659722),Mali
AS Lucchese Libertas 1905,Stadio Porta Elisa,Point(10.517222 43.847778),Italy
AS Magenta,Stade Numa-Daly Magenta,Point(166.467611 -22.265528),France
AS Marsa,Stade Abdelaziz Chtioui,Point(10.32 36.875),Tunisia
AS SONABEL,Stade de la SONABEL,Point(-1.527778 12.304167),Burkina Faso
AS Vita Club,Stade des Martyrs,Point(15.31 -4.330417),Democratic Republic of the Congo
ASA 2013 Târgu Mureș,Stadionul Trans-Sil,Point(24.545833 46.549722),Romania
ASC Jeanne d'Arc,Stade Leopold Senghor,Point(-17.452014 14.746694),Senegal
ASEC Mimosas,Stade Municipal d'Abidjan,Point(-4.018889 5.341944),Côte d'Ivoire
ASFA Yennenga,Stade du 4-Août,Point(-1.55344444 12.36869444),Burkina Faso
ASIL Lysi,Grigoris Afxentiou Stadium (Larnaca),Point(33.600722222 34.912083333),Cyprus
ASKÖ Pasching,Commerzbank-Arena,Point(8.645278 50.068611),Austria
ASM Belfort,Q3495846,Point(6.85585 47.6552),France
ASM Oran,Stade Habib Bouakeul,Point(-0.675278 35.679167),Algeria
ASO Ormideia,Ormideia Community Stadium,Point(33.77891 34.983509),Cyprus
ASOA Valence,Stade Georges Pompidou,Point(4.919166666 44.945555555),France
ASOB Vatili,Vatili Community Stadium,Point(33.647674 35.143889),Cyprus
ASPIS Pylas,Pyla Community Stadium,Point(33.692886 35.010126),Cyprus
ATE PEK Ergaton,Ergates Community Stadium,Point(33.234353 35.052893),Cyprus
ATE PEK Parekklisias,Parekklisia Community Stadium,Point(33.160694444 34.736166666),Cyprus
AYMA,GSP Stadium (1902),Point(33.3558 35.168),Cyprus
AZ (women's football club),AFAS Stadion,Point(4.741667 52.6125),Netherlands
AZ Alkmaar,AFAS Stadion,Point(4.741667 52.6125),Netherlands
AZAL PFC,AZAL Arena,Point(50.1964 40.4968),Azerbaijan
AaB Fodbold,Nordjyske Arena,Point(9.8991 57.0515),Denmark
Aalesunds FK,Color Line Stadion,Point(6.1875 62.46944444),Norway
Aarhus Gymnastikforening,Atletion,Point(10.196389 56.131944),Denmark
Abahani Limited,Bangabandhu National Stadium,Point(90.41333333 23.72777778),Bangladesh
Aberdare Athletic F.C.,Aberdare Athletic Ground,Point(-3.4374 51.7127),United Kingdom
Aberdeen F.C.,Pittodrie Stadium,Point(-2.088888888 57.159166666),United Kingdom
Aberdeen F.C.,Pittodrie Stadium,Point(-2.088888888 57.159166666),United Kingdom
Abrantes F.C.,Estádio Municipal de Abrantes,Point(-8.215494 39.458896),Portugal
Abuja F.C.,Old Parade Ground,Point(7.488889 9.042778),Nigeria
Academia F.C.,Estadio Compensar,Point(-74.101094 4.661144),Colombia
Academia Quintana,Hiram Bithorn Stadium,Point(-66.073055555 18.416666666),United States of America
Academia de Balompié Boliviano,Estadio Hernando Siles,Point(-68.122778 -16.499444),Bolivia
Academie de Foot Amadou Diallo,Stade Municipal d'Abidjan,Point(-4.018889 5.341944),Côte d'Ivoire
Académica,National Stadium,Point(125.580611 -8.557944),East Timor
Académica,Estádio Marcelo Leitão,Point(-22.938833333 16.753258333),Cape Verde
Académica Operária,Estadio Municipal Arsénio Ramos,Point(-22.909305555 16.179194444),Cape Verde
Académica da Praia,Estádio da Várzea,Point(-23.512222 14.916111),Cape Verde
Académica do Mindelo,Estádio Municipal Adérito Sena,Point(-24.985277777 16.8825),Cape Verde
Académico do Aeroporto,Estádio Marcelo Leitão,Point(-22.938833333 16.753258333),Cape Verde
Académie de Sol Beni,Stade Félix Houphouët-Boigny,Point(-4.018417 5.32825),Côte d'Ivoire
Accra Hearts of Oak SC,Accra Sports Stadium,Point(-0.191767 5.551531),Ghana
Accrington Stanley F.C.,Crown Ground,Point(-2.370911 53.765356),United Kingdom
Achyronas Liopetriou,Liopetri Community Stadium,Point(33.894013 35.000674),Cyprus
Actualmente juega en el Levante FC,Estadio Nuevo José Zorrilla,Point(-4.761111 41.644444),Spain
Adana Demirspor,Adana 5 Ocak Stadium,Point(35.329722 36.998889),Turkey
Adanaspor,Adana 5 Ocak Stadium,Point(35.329722 36.998889),Turkey
Adap Galo Maringá Football Club,Estádio Willie Davids,Point(-51.938056 -23.414167),Brazil
Adelaide Comets,Santos Stadium,Point(138.578333 -34.929444),Australia
Adelaide United Football Club,Hindmarsh Stadium,Point(138.568889 -34.9075),Australia
Africa Sports d'Abidjan,Stade Félix Houphouët-Boigny,Point(-4.018417 5.32825),Côte d'Ivoire
African Stars F.C.,Sam Nujoma Stadium,Point(17.090975 -22.60763611),Namibia
African Wanderers,SJ Smith Stadium,Point(30.95139 -29.94916),South Africa
Afrin SC,Aleppo 7 April Stadium,Point(37.135556 36.200833),Syria
AgD Ceuta,Estadio Alfonso Murube,Point(-5.3279 35.8854),Spain
Ahva Arraba F.C.,Doha Stadium,Point(35.31085 32.866692),Israel
Aigle Noir AC,Stade Sylvio Cator,Point(-72.342583333 18.535861111),Haiti
Ain Sud Foot,Stade du Forum,Point(4.9875 45.8279),France
Air Force United F.C.,Thupatemee Stadium,Point(100.625 13.9512),Thailand
Air India,Cooperage Ground,Point(72.828734 18.924449),India
Airbus UK Broughton F.C.,The Airfield,Point(-2.981519 53.171492),United Kingdom
Airdrieonians F.C.,Excelsior Stadium,Point(-3.95975 55.8597),United Kingdom
Airdrieonians F.C.,Excelsior Stadium,Point(-3.95975 55.8597),United Kingdom
Ajax Cape Town F.C.,Cape Town Stadium,Point(18.408611 -33.905556),South Africa
Akhisar Belediyespor,Manisa 19 Mayıs Stadium,Point(27.439933 38.623006),Turkey
Akritas Chlorakas,Chloraka Community Stadium,Point(32.41255 34.7924),Cyprus
Akçaabat Sebatspor,Akçaabat Fatih Stadium,Point(39.585053 41.017169),Turkey
Al Ahli SC,Khalifa International Stadium,Point(51.448078 25.263664),Qatar
Al Ahli SC (Khartoum),Khartoum Stadium,Point(32.515603 15.598392),Sudan
Al Ain FC,Sheikh Khalifa International Stadium,Point(55.766333333 24.207291666),United Arab Emirates
Al Ansar Club,Al Bayda Stadium,Point(21.741667 32.766389),Libya
Al Hazm,Al Hazm Club Stadium,Point(43.502222 25.860278),Saudi Arabia
Al Jabalain,Prince Abdul Aziz bin Musa'ed Stadium,Point(41.697589 27.50398),Saudi Arabia
Al Jahra SC,Al Shabab Mubarak Alaiar Stadium,Point(47.69583333 29.345),Kuwait
Al Jazira Club,Mohammed Bin Zayed Stadium,Point(54.392019 24.452764),United Arab Emirates
Al Kharaitiyat SC,Al-Khawr Stadium,Point(51.492631 25.679406),Qatar
Al Khartoum SC,Khartoum Stadium,Point(32.515603 15.598392),Sudan
Al Nahda Club,Nizwa Sports Complex,Point(57.589444 22.904444),Oman
Al Naser Sporting Club,Ali Al-Salem Al-Sabah Stadium,Point(47.92444444 29.27194444),Kuwait
Al Sadd Sports Club,Jassim Bin Hamad Stadium,Point(51.484251 25.267358),Qatar
Al Shabab Al Arabi Club,Maktoum Bin Rashid Al Maktoum Stadium,Point(55.348333333 25.290833333),United Arab Emirates
Al Shabab FC,King Fahd International Stadium,Point(46.839236 24.788206),Saudi Arabia
Al Yarmouk Kuwait,Mishref Stadium,Point(48.068983333 29.291433333),Kuwait
Al-Ahli,Petra Stadium,Point(35.903889 31.981667),Jordan
Al-Ahli SC,Prince Abdullah al-Faisal Stadium,Point(39.251693 21.446608),Saudi Arabia
Al-Ahly SC,June 11 Stadium,Point(13.135878 32.859869),Libya
Al-Arabi,Al-Hassan Stadium,Point(35.860278 32.5375),Jordan
Al-Arabi,Department of Education Stadium,Point(44.051667 26.088333),Saudi Arabia
Al-Arabi SC,Sabah Al Salem Stadium,Point(48.000277777 29.356944444),Kuwait
Al-Baqa'a SC,Petra Stadium,Point(35.903889 31.981667),Jordan
Al-Fahaheel FC,Fahaheel Stadium,Point(48.117591666 29.092772222),Kuwait
Al-Faisaly FC,Prince Salman Bin Abdulaziz Sport City Stadium,Point(45.368021 25.886929),Saudi Arabia
Al-Faisaly SC,Amman International Stadium,Point(35.903 31.985),Jordan
Al-Fateh SC,Prince Abdullah bin Jalawi Stadium,Point(49.612778 25.305833),Saudi Arabia
Al-Feiha FC,Prince Salman Bin Abdulaziz Sport City Stadium,Point(45.368021 25.886929),Saudi Arabia
Al-Gharafa Sports Club,Thani bin Jassim Stadium,Point(51.440562 25.34474),Qatar
Al-Hilal Club,Al-Hilal Stadium,Point(32.475 15.64722222),Sudan
Al-Hilal FC,King Fahd International Stadium,Point(46.839236 24.788206),Saudi Arabia
Al-Ittihad Al-Sakndary,Alexandria Stadium,Point(29.9132 31.1971),Egypt
Al-Ittihad Club,June 11 Stadium,Point(13.135878 32.859869),Libya
Al-Ittihad SC Aleppo,Aleppo International Stadium,Point(37.117778 36.185),Syria
Al-Jaish SC,Abbasiyyin Stadium,Point(36.320161 33.522789),Syria
Al-Jalil,Al-Hassan Stadium,Point(35.860278 32.5375),Jordan
Al-Jazeera,Petra Stadium,Point(35.903889 31.981667),Jordan
Al-Jazeera SC Hasakah,Al-Basil Stadium Al-Hasakah,Point(35.744722 35.560556),Syria
Al-Karamah SC,Khalid ibn al-Walid Stadium,Point(36.697917 34.729861),Syria
Al-Karmel FC,Al-Hassan Stadium,Point(35.860278 32.5375),Jordan
Al-Khor Sports Club,Al-Khawr Stadium,Point(51.492631 25.679406),Qatar
Al-Majd Damascus,Abbasiyyin Stadium,Point(36.320161 33.522789),Syria
Al-Markhiya Sports Club,Al-Markhiya Stadium,Point(51.494278 25.33225),Qatar
Al-Masry Club,Port Said Stadium,Point(32.291389 31.271111),Egypt
Al-Merreikh SC,Al-Merreikh Stadium,Point(32.471556 15.641278),Sudan
Al-Muharraq SC,Bahrain National Stadium,Point(50.543664 26.153594),Bahrain
Al-Najma,Al-Najma Club Stadium,Point(44.048056 26.095278),Saudi Arabia
Al-Nasr S.C.S.C.,Al-Saada Stadium,Point(54.143789 17.082711),Oman
Al-Quwa Al-Jawiya,Al Quwa Al Jawiya Stadium,Point(44.438828 33.344529),Iraq
Al-Raed,King Abdullah Sport City Stadium,Point(43.9478 26.3789),Saudi Arabia
Al-Rashid,Al Karkh Stadium,Point(44.4 33.31666667),Iraq
Al-Rayyan S.C.,Ahmed bin Ali Stadium,Point(51.341279 25.330538),Qatar
Al-Sailiya SC,Ahmed bin Ali Stadium,Point(51.341279 25.330538),Qatar
Al-Salmiya SC,Thamir Stadium,Point(48.088333333 29.340833333),Kuwait
Al-Sareeh SC,Al-Hassan Stadium,Point(35.860278 32.5375),Jordan
Al-Sha'ab Hadramaut,Baradem Mukalla Stadium,Point(49.121616 14.548164),Yemen
Al-Shabab Club,Bahrain National Stadium,Point(50.543664 26.153594),Bahrain
Al-Shabab SC,Al-Ahmadi Stadium,Point(48.078333333 29.091111111),Kuwait
Al-Shamal Sports Club,Al-Shamal SC Stadium,Point(51.221028 26.118028),Qatar
Al-Shoalah,Al-Shoalah Club Stadium,Point(47.205 24.0957),Saudi Arabia
Al-Shorta SC,Abbasiyyin Stadium,Point(36.320161 33.522789),Syria
Al-Ta'ee,Prince Abdul Aziz bin Musa'ed Stadium,Point(41.697589 27.50398),Saudi Arabia
Al-Taawon FC,King Abdullah Sport City Stadium,Point(43.9478 26.3789),Saudi Arabia
Al-Wahda S.C.C.,Al Nahyan Stadium,Point(54.375252777 24.469397222),United Arab Emirates
Al-Wahda SC Damascus,Abbasiyyin Stadium,Point(36.320161 33.522789),Syria
Al-Wakrah Sports Club,Al-Wakrah Stadium,Point(51.596522 25.180294),Qatar
Al-Wathba SC,Khalid ibn al-Walid Stadium,Point(36.697917 34.729861),Syria
Al-Wehda Club,King Abdul Aziz Stadium,Point(39.9737 21.4855),Saudi Arabia
Al-Wehdat SC,King Abdullah Stadium,Point(35.95305634 31.92749977),Jordan
Al-Wehdat SC,King Abdullah Stadium,Point(35.953289 31.927789),Jordan
Al-Wehdat SC,King Abdullah Stadium,Point(36.32016111 33.52278889),Jordan
Al-Yarmouk FC,King Abdullah Stadium,Point(35.95305634 31.92749977),Jordan
Al-Yarmouk FC,King Abdullah Stadium,Point(35.953289 31.927789),Jordan
Al-Yarmouk FC,King Abdullah Stadium,Point(36.32016111 33.52278889),Jordan
Al-Yarmouk SC Aleppo,Aleppo 7 April Stadium,Point(37.135556 36.200833),Syria
Al-Zawra'a SC,Al-Zawraa Stadium,Point(44.3682 33.3442),Iraq
Al-ittihad,King Fahd International Stadium,Point(46.839236 24.788206),Saudi Arabia
Ala'ab Damanhour,Ala'ab Damanhour Stadium,Point(30.456944 31.0375),Egypt
Alacranes Del Norte,Estadio José Gregorio Martínez,Point(-88.967929 14.042713),El Salvador
Alacranes de Durango,Estadio Francisco Zarco,Point(-104.68690833 24.01433056),Mexico
Alamn Alaam,GMR Stadium,Point(13.136944 32.859722),Libya
Alashkert Martuni,Nairi Stadium,Point(44.475231 40.154605),Armenia
Albacete Balompié,Estadio Carlos Belmonte,Point(-1.852142 38.981117),Spain
Albion Rovers F.C.,Cliftonhill,Point(-4.01139 55.8603),United Kingdom
Albion Sports A.F.C.,Horsfall Stadium,Point(-1.776203 53.758856),United Kingdom
Albirex Niigata,Tohoku Electric Power Big Swan Stadium,Point(139.059169 37.882614),Japan
Aldershot F.C.,Recreation Ground,Point(-0.754789 51.248386),United Kingdom
Aldershot Town F.C.,Recreation Ground,Point(-0.754789 51.248386),United Kingdom
